State,Hospital name,Establishment ID,Medicare Provider No.,Local Hospital Network identifier,Local Hospital Network,Address Line 1,Address Line 2,asgc_ra,Remoteness area,Number of available beds,2012-13 Peer Group code,Peer Group Name,Provided data for NPHED,Provided data for NHMD,Provided data for NAPEDCD,Provided data for ESWT,Provided data for NNAPCD,IHPA funding designation
VIC,The Bendigo Hospital,210301021,0030120J,210,Bendigo Health Care Group,62     Lucan                                         St,Bendigo                                                3550,1,Inner Regional,318.8,L,Public acute group A,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
VIC,The Kilmore & District Hospital,210403460,0030560H,241,Kilmore and District Hospital,1      Rutledge                                      St,Kilmore                                                3764,1,Inner Regional,36.0,S1,Public acute group C,Yes,Yes,No,No,Yes,Block-funded hospital
VIC,The Mornington Centre,210904084,0032110W,270,Peninsula Health (Vic),24     Cnr Tyalla Grove And Separation               St,Mornington                                             3931,0,Major Cities,92.0,N2,Rehabilitation and GEM,Yes,Yes,No,No,No,Activity-based funded hospital
VIC,The Northern Hospital [Epping],210A01280,0030940W,226,Northern Health (Vic),185    Cooper                                        St,Epping                                                 3076,0,Major Cities,445.9,L,Public acute group A,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
VIC,The Peter James Centre [East Burwood],210802120,0031750T,234,Eastern Health (Vic),321    Burwood                                       Hwy,Forest Hill                                            3131,0,Major Cities,116.2,N1,Mixed subacute and non-acute,Yes,Yes,No,No,Yes,Activity-based funded hospital
VIC,The Royal Victorian Eye & Ear Hospital,210A01240,0031240T,263,Royal Victorian Eye and Ear Hospital,32     Gisborne                                      St,East Melbourne                                         3002,0,Major Cities,56.6,O3,Other public acute specialised,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
VIC,Timboon & District Healthcare Service,210102360,0031200A,286,Timboon and District Healthcare Service,21     Hospital                                      Rd,Timboon                                                3268,2,Outer Regional,14.0,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
VIC,Tweddle Child & Family Health Centre [Fo,210A01900,0031220X,999,Not stated/inadequately described,53     Adelaide                                      St,Footscray                                              3011,0,Major Cities,20.0,O1,Early parenting centres,Yes,Yes,No,No,No,Funding not designated/Unknown
VIC,University Hospital Geelong,210102050,0030470J,231,Barwon Health,1      Bellarine                                     St,Geelong                                                3220,0,Major Cities,495.4,PR,Principal referral,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
VIC,Upper Murray Health & Community Services,210402150,0030290L,250,Upper Murray Health and Community Services (Corryong),20     Kiell                                         St,Corryong                                               3707,2,Outer Regional,10.0,S2,Public acute group D,Yes,Yes,No,No,No,Block-funded hospital
VIC,Ursula Frayne Centre (CA),210A01321,,267,Mercy Public Hospital Inc. (Vic),35     Mavis                                         St,Footscray                                              3011,0,Major Cities,16.0,Ps,Psychiatric,Yes,Yes,No,No,No,Activity-based funded hospital
VIC,Victorian Institute of Forensic Mental H,240A05990,,227,Victorian Institute of Forensic Mental Health,1      Yarra Bend                                    Rd,Fairfield                                              3078,0,Major Cities,151.0,Ps,Psychiatric,Yes,Yes,No,No,No,Funding not designated/Unknown
VIC,Victorian Institute of Forensic Mental H,240A05992,,227,Victorian Institute of Forensic Mental Health,317    Spencer                                       St,Melbourne                                              3003,0,Major Cities,35.0,Ps,Psychiatric,Yes,No,No,No,No,Funding not designated/Unknown
VIC,Wantirna Health,210802330,0032000A,234,Eastern Health (Vic),251    Mountain                                      Hwy,Wantirna                                               3152,0,Major Cities,62.3,N1,Mixed subacute and non-acute,Yes,Yes,No,No,Yes,Activity-based funded hospital
VIC,West Gippsland Healthcare Group [Warragu,210501580,0031310W,252,West Gippsland Healthcare Group,41     Landsborough                                  St,Warragul                                               3820,1,Inner Regional,90.0,M,Public acute group B,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
VIC,West Wimmera Health Service [Jeparit],210202373,0031370F,277,West Wimmera Health Service,2      Charles                                       St,Jeparit                                                3423,2,Outer Regional,4.0,VS,Very small,Yes,Yes,No,No,No,Block-funded hospital
VIC,West Wimmera Health Service [Kaniva],210202372,0031900W,277,West Wimmera Health Service,9      Farmers                                       St,Kaniva                                                 3419,2,Outer Regional,6.0,VS,Very small,Yes,Yes,No,No,No,Block-funded hospital
VIC,West Wimmera Health Service [Nhill],210202371,0031900W,277,West Wimmera Health Service,45     Nelson                                        St,Nhill                                                  3418,2,Outer Regional,21.0,S1,Public acute group C,Yes,Yes,No,No,Yes,Block-funded hospital
VIC,West Wimmera Health Service [Rainbow],210202374,0031900W,277,West Wimmera Health Service,2      Swinbourne                                    Ave,Rainbow                                                3424,3,Remote,7.0,VS,Very small,Yes,Yes,No,No,No,Block-funded hospital
VIC,Western District Health Service [Colerai,210102140,0030280T,282,Western District Health Service (Vic),71     McLeod                                        St,Coleraine                                              3315,2,Outer Regional,10.0,VS,Very small,Yes,Yes,No,No,Yes,Block-funded hospital
VIC,Western District Health Service [Hamilto,210101071,0030490F,282,Western District Health Service (Vic),20     Foster                                        St,Hamilton                                               3300,1,Inner Regional,72.0,S1,Public acute group C,Yes,Yes,Yes,No,Yes,Activity-based funded hospital
VIC,Western District Health Service [Penshur,210101072,0030890K,282,Western District Health Service (Vic),146    Cobb                                          St,Penshurst                                              3289,2,Outer Regional,6.0,VS,Very small,Yes,Yes,No,No,No,Activity-based funded hospital
VIC,Western Hospital [Footscray],210A01180,0031850K,209,Western Health (Vic),160    Gordon                                        St,Footscray                                              3011,0,Major Cities,285.7,L,Public acute group A,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
VIC,Williamstown Hospital,210A01460,0031340K,209,Western Health (Vic),77     Railway                                       Cres,Williamstown                                           3016,0,Major Cities,102.6,M,Public acute group B,Yes,Yes,Yes,Yes,Yes,Activity-based funded hospital
VIC,Wimmera Base Hospital [Horsham],210202170,0034650W,275,Wimmera Health Care Group,83     Baillie                                       St,Horsham                                                3400,2,Outer Regional,93.0,S1,Public acute group C,Yes,Yes,Yes,No,Yes,Activity-based funded hospital
VIC,Wimmera Base Hospital [Rupanyup],210202210,0031810X,277,West Wimmera Health Service,89     Cromie                                        St,Rupanyup                                               3388,2,Outer Regional,2.0,OT,Outpatient hospital,Yes,Yes,No,No,Yes,Block-funded hospital
VIC,Womens at Sandringham,210A01232,,224,Royal Women's Hospital (Melbourne),193    Bluff?                                        Rd,Sandringham?                                           3191,0,Major Cities,28.0,W1,Womens,Yes,Yes,No,Yes,Yes,Activity-based funded hospital
VIC,Yarra Ranges Health,210803690,0031990Y,234,Eastern Health (Vic),25     Market                                        St,Lilydale                                               3140,0,Major Cities,16.0,O4,Other day procedure hospital,Yes,Yes,No,No,Yes,Activity-based funded hospital
VIC,Yarram & District Health Service,210501770,0031430J,257,Yarram and District Health Service,85     Commercial                                    Rd,Yarram                                                 3971,1,Inner Regional,22.0,S2,Public acute group D,Yes,Yes,No,No,Yes,Block-funded hospital
VIC,Yarrawonga District Health Service,210401780,0031440H,244,Yarrawonga District Health Service,33     Piper                                         St,Yarrawonga                                             3730,1,Inner Regional,29.0,S1,Public acute group C,Yes,Yes,No,No,Yes,Block-funded hospital
VIC,Yea & District Memorial Hospital,210403590,0031450F,242,Yea and District Memorial Hospital,45     Station                                       St,Yea                                                    3717,1,Inner Regional,10.0,S2,Public acute group D,Yes,Yes,No,No,No,Block-funded hospital
